GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HW1,org.hw1.boundary,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
HW1,org.hw1.boundary,ServiceRequestRestController,3,0,0,0,1,0,1,0,1,0
HW1,org.hw1.boundary,UserRestController,0,16,0,0,0,3,0,2,0,2
HW1,org.hw1.service,MunicipalityService,7,66,1,3,3,16,1,4,0,3
HW1,org.hw1.service,MunicipalityService.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
HW1,org.hw1.service,UserService,9,72,1,5,3,13,1,5,0,3
HW1,org.hw1.service,ServiceRequestService,20,190,7,11,1,47,9,13,3,10
HW1,org.hw1,HW1Application,5,3,0,0,2,1,1,1,1,1
HW1,org.hw1.data,Municipality,0,9,0,0,0,5,0,2,0,2
HW1,org.hw1.data,ServiceRequest,0,3,0,0,0,1,0,1,0,1
HW1,org.hw1.data,Status,0,33,0,0,0,2,0,1,0,1
HW1,org.hw1.data,User,0,6,0,0,0,2,0,1,0,1
HW1,org.hw1.data,ServiceStatusHistory,0,6,0,0,0,3,0,1,0,1
HW1,org.hw1.boundary.dto,AuthRequest,0,3,0,0,0,1,0,1,0,1
